rr_id,claim_id,report_id,repro_version_of_record
231w2,pqzK_bn52ky,231w2_419_1,T
231w2,pqzK_brdonz,231w2_420_1,T
231w2,pqzK_g47n4q,231w2_414_1,T
231w2,pqzK_m55nxv,231w2_415_1,T
231w2,pqzK_m81pl8,231w2_418_1,T
231w2,pqzK_myv8jj,231w2_416_1,T
231w2,pqzK_9ko9j1,231w2_421_1,T
675z9,q4X2_single-trace,675z9_309_1,T
23g12,q8xv_22jnnj,23g12_2_1,T
23g12,q8xv_524ll2,23g12_1_1,T
23g12,q8xv_827ww4,23g12_3_1,T
23g12,q8xv_d4r99j,23g12_4_1,T
23g12,q8xv_ryzpp8,23g12_5_1,T
23g12,q8xv_l88v4q,23g12_0_1,F
g4ym,q8xv_single-trace,g4ym_530_1,T
mkk9,q8xv_single-trace,mkk9_542_1,F
1974,qKdb_single-trace,1974_571_1,T
28z92,qQ9Z_single-trace,28z92_195_1,T
yy60,qXX2_single-trace,yy60_567_1,T
k1yz,qXX2_single-trace,k1yz_690_1,F
21gg2,qg47_single-trace,21gg2_220_1,T
247ww,qg47_single-trace,247ww_310_1,F
215g2,qgWj_1r285j,215g2_448_1,T
215g2,qgWj_9olz6z,215g2_449_1,T
215g2,qgWj_j6qlvv,215g2_447_1,T
215g2,qgWj_pplx84,215g2_444_1,T
215g2,qgWj_q76z8j,215g2_445_1,T
215g2,qgWj_x61xpy,215g2_446_1,T
2g7gy,qggQ_single-trace,2g7gy_303_1,T
6ow93,rWbG_single-trace,6ow93_176_1,T
67116,rjb_bz1ddg,67116_436_1,T
67116,rjb_gl9nvg,67116_437_1,T
67116,rjb_mkr71g,67116_434_1,F
67116,rjb_m71nkm,67116_435_1,T
y730,rjb_single-trace,y730_548_1,F
949y,rym8_single-trace,949y_520_1,T
2go82,vaWE_bzyxpq,2go82_412_1,T
2go82,vaWE_gl78od,2go82_413_1,T
2go82,vaWE_m73ov5,2go82_411_1,F
1m02,vaWE_single-trace,1m02_555_1,T
65wm6,wRvv_bz6lqp,65wm6_439_1,T
65wm6,wRvv_gld3y5,65wm6_440_1,T
65wm6,wRvv_gxvxw2,65wm6_442_1,T
65wm6,wRvv_m328ro,65wm6_441_1,T
65wm6,wRvv_m7zd6r,65wm6_438_1,T
312k,wRvv_single-trace,312k_491_1,F
36mz,wx5k_single-trace,36mz_577_1,T
7mmg,wxQZ_single-trace,7mmg_588_1,T
67442,xYbO_4knqr8,67442_296_1,T
67442,xYbO_blw99o,67442_295_1,T
67442,xYbO_gjrjjk,67442_297_1,T
67442,xYbO_m63jjk,67442_293_1,T
67442,xYbO_gwl88w,67442_294_1,T
k0z,xYbO_single-trace,k0z_535_1,F
y436,yAPR_single-trace,y436_547_1,T
2kgy8,yJwG_b574lj,2kgy8_252_1,T
2kgy8,yJwG_g12xod,2kgy8_249_1,T
2kgy8,yJwG_g9l3pl,2kgy8_250_1,T
2kgy8,yJwG_m4y9z9,2kgy8_251_1,T
2kgy8,yJwG_mjqwop,2kgy8_248_1,T
65396,yQeR_1rrdyx,65396_397_1,T
65396,yQeR_4kk266,65396_399_1,T
65396,yQeR_5oo23w,65396_400_1,T
65396,yQeR_9oovx5,65396_398_1,T
65396,yQeR_9vxx6n,65396_401_1,T
65396,yQeR_j66kzq,65396_396_1,T
g4k1,yQeR_single-trace,g4k1_529_1,F
21kg,yZD4_single-trace,21kg_573_1,T
6oww3,yjkQ_single-trace,6oww3_302_1,T
21952,yypJ_single-trace,21952_376_1,F
zmg9,yypJ_single-trace,zmg9_551_1,T
5z18,yzgG_single-trace,5z18_506_1,T
y410,z0v1_single-trace,y410_546_1,T
6m17,z4dO_single-trace,6m17_566_1,T
245w6,zK2_bdj1jb,245w6_382_1,T
245w6,zK2_bvn5rm,245w6_381_1,T
245w6,zK2_bz28qb,245w6_387_1,T
245w6,zK2_g7opxm,245w6_386_1,T
245w6,zK2_g8rq2b,245w6_378_1,T
245w6,zK2_gkzl8g,245w6_383_1,T
245w6,zK2_glzvdm,245w6_388_1,T
245w6,zK2_gx58ym,245w6_389_1,T
245w6,zK2_m7475m,245w6_385_1,T
245w6,zK2_m85l4m,245w6_380_1,T
245w6,zK2_mk8vnm,245w6_384_1,T
245w6,zK2_mokpzb,245w6_379_1,T
245w6,zK2_single-trace,245w6_377_1,T
5698,zK2_single-trace,5698_554_1,F
9yzy,zV1O_single-trace,9yzy_525_1,T
67539,zb3Y_bzyz9k,67539_270_1,T
67539,zb3Y_gl7j22,67539_271_1,T
67539,zb3Y_m3dy4j,67539_273_1,T
67539,zb3Y_m73y84,67539_269_1,T
67539,zb3Y_mknxyd,67539_268_1,T
67539,zb3Y_mw9jx3,67539_274_1,T
67539,zb3Y_b66y26,67539_272_1,T
50z6,zk94_single-trace,50z6_581_1,T
7515,zlBL_single-trace,7515_512_1,T
675wo,zlm2_single-trace,675wo_197_1,T
zg66,zlw_single-trace,zg66_550_1,T
2w9mo,zmYY_moyz3d,2w9mo_280_1,T
2w9mo,zmYY_g82z5k,2w9mo_279_1,T
g5m,zmYY_single-trace,g5m_561_1,F
2w7w2,zqwm_single-trace,2w7w2_40_1,T
927,7WjP_single-trace,927_683_1,F
6778,Blxd_single-trace,6778_679_1,T
5196,Kj9d_single-trace,5196_682_1,T
2z3g,b3G4_single-trace,2z3g_681_1,T
68,l22v_single-trace,68_680_1,T
0056,z0v1_single-trace,0056_678_1,F
m7k3,Peaa_single-trace,m7k3_684_1,T
ykg6,P39Z_single-trace,ykg6_685_1,T
2g5g,1574_single-trace,2g5g_686_1,T
9y8y,AgO1_single-trace,9y8y_687_1,T
2637,ZdgL_single-trace,2637_688_1,T
